"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"UKM00003772","HEATHROW, UK","2022-02-09","0.0",,"10.3","14.4",
"UKM00003772","HEATHROW, UK","2022-02-10","1.3",,"5.9",,
"UKM00003772","HEATHROW, UK","2022-02-11","0.0",,"4.1","9.4","-0.2"
"UKM00003772","HEATHROW, UK","2022-02-12","0.0",,"5.4","8.8","-0.4"
"UKM00003772","HEATHROW, UK","2022-02-13","0.0",,"8.2",,"5.8"
"UKM00003772","HEATHROW, UK","2022-02-14","14.2",,"7.4","9.4",
"UKM00003772","HEATHROW, UK","2022-02-15","1.5",,"7.2",,"2.2"
"UKM00003772","HEATHROW, UK","2022-02-16","5.8",,"12.7","15.1","8.8"
"UKM00003772","HEATHROW, UK","2022-02-17","0.5",,"9.7","12.4",
"UKM00003772","HEATHROW, UK","2022-02-18","0.8",,"8.2",,
"UKM00003772","HEATHROW, UK","2022-02-19","0.8",,"6.2","10.5","2.4"
"UKM00003772","HEATHROW, UK","2022-02-20","4.6",,"10.2","12.4",
"UKM00003772","HEATHROW, UK","2022-02-21","4.3",,"7.9","11.7","4.2"
"UKM00003772","HEATHROW, UK","2022-02-22","0.3",,"9.2","13.6","4.4"
"UKM00003772","HEATHROW, UK","2022-02-23","0.0",,"7.0","10.7","1.7"
"UKM00003772","HEATHROW, UK","2022-02-24","0.0",,"6.3",,
"UKM00003772","HEATHROW, UK","2022-02-25","3.0",,"6.2","11.5",
"UKM00003772","HEATHROW, UK","2022-02-26","0.0",,"4.9","10.9",
"UKM00003772","HEATHROW, UK","2022-02-27","0.0",,"5.7","11.2",
"UKM00003772","HEATHROW, UK","2022-02-28","0.0",,"8.7","12.4","3.0"
"UKM00003772","HEATHROW, UK","2022-03-01","5.6",,"8.2",,
"UKM00003772","HEATHROW, UK","2022-03-02","12.7",,"6.8",,
"UKM00003772","HEATHROW, UK","2022-03-03","2.5",,"8.4","12.4","4.4"
"UKM00003772","HEATHROW, UK","2022-03-04","0.3",,"7.3",,
"UKM00003772","HEATHROW, UK","2022-03-05","0.3",,"6.2",,
"UKM00003772","HEATHROW, UK","2022-03-06","0.5",,"5.3","8.1","3.6"
"UKM00003772","HEATHROW, UK","2022-03-07","0.0",,"4.4",,
"UKM00003772","HEATHROW, UK","2022-03-08","0.0",,"6.1","12.9","-0.5"
"UKM00003772","HEATHROW, UK","2022-03-09","0.0",,"9.9","13.2","6.5"
"UKM00003772","HEATHROW, UK","2022-03-10","0.0",,"11.4","16.0","6.4"
"UKM00003772","HEATHROW, UK","2022-03-11","0.0",,"10.2","12.5",
"UKM00003772","HEATHROW, UK","2022-03-12","4.3",,"9.6","13.0",
"UKM00003772","HEATHROW, UK","2022-03-13","0.5",,"9.3","11.6",
"UKM00003772","HEATHROW, UK","2022-03-14","0.5",,"8.0","13.3","3.4"
"UKM00003772","HEATHROW, UK","2022-03-15","0.0",,"10.1","16.0","4.5"
"UKM00003772","HEATHROW, UK","2022-03-16","0.0",,"9.1",,
"UKM00003772","HEATHROW, UK","2022-03-17","10.9",,"8.1","14.2","1.7"
"UKM00003772","HEATHROW, UK","2022-03-18","0.0",,"9.1","16.1","2.7"
"UKM00003772","HEATHROW, UK","2022-03-19","0.0",,"10.0","14.1",
"UKM00003772","HEATHROW, UK","2022-03-20","0.0",,"7.8","12.1",
"UKM00003772","HEATHROW, UK","2022-03-21","0.0",,"8.9","17.3","0.5"
"UKM00003772","HEATHROW, UK","2022-03-22","0.0",,"13.3","19.9",
"UKM00003772","HEATHROW, UK","2022-03-23","0.0",,"12.5","19.8","5.1"
"UKM00003772","HEATHROW, UK","2022-03-24","0.0",,"11.6","19.0","3.8"
"UKM00003772","HEATHROW, UK","2022-03-25","0.0",,"11.0","17.7","4.7"
"UKM00003772","HEATHROW, UK","2022-03-26","0.0",,"11.3","18.3","5.1"
"UKM00003772","HEATHROW, UK","2022-03-27","0.0",,"8.6","13.2",
"UKM00003772","HEATHROW, UK","2022-03-28","0.0",,"9.8","16.8","3.6"
"UKM00003772","HEATHROW, UK","2022-03-29","0.0",,"9.3","12.2",
"UKM00003772","HEATHROW, UK","2022-03-30","0.5",,"7.3","11.2",
"UKM00003772","HEATHROW, UK","2022-03-31","0.0",,"3.6","7.9",
"UKM00003772","HEATHROW, UK","2022-04-01","0.0",,"4.3","9.2",
"UKM00003772","HEATHROW, UK","2022-04-02","0.0",,"4.2","9.9","0.0"
"UKM00003772","HEATHROW, UK","2022-04-03","0.0",,"5.0","10.9","-1.2"
"UKM00003772","HEATHROW, UK","2022-04-04","1.8",,"9.8",,
"UKM00003772","HEATHROW, UK","2022-04-05","1.5",,"11.8","14.9",
"UKM00003772","HEATHROW, UK","2022-04-06","0.0",,"10.9","16.0",
"UKM00003772","HEATHROW, UK","2022-04-07","9.4",,"9.6","14.0",
"UKM00003772","HEATHROW, UK","2022-04-08","0.0",,"6.9","11.7","2.5"
"UKM00003772","HEATHROW, UK","2022-04-09","0.3",,"7.1","12.6","0.9"
"UKM00003772","HEATHROW, UK","2022-04-10","0.0",,"7.8","13.4","1.0"
"UKM00003772","HEATHROW, UK","2022-04-11","0.0",,"11.7","18.8","4.4"
"UKM00003772","HEATHROW, UK","2022-04-12","0.3",,"13.2","18.6","9.2"
"UKM00003772","HEATHROW, UK","2022-04-13","0.0",,"13.7","20.0","10.1"
"UKM00003772","HEATHROW, UK","2022-04-14","0.0",,"13.4","19.8","6.8"
"UKM00003772","HEATHROW, UK","2022-04-15","0.0",,"15.1","23.1","7.5"
"UKM00003772","HEATHROW, UK","2022-04-16","0.0",,"13.3","19.8","8.0"
"UKM00003772","HEATHROW, UK","2022-04-17","0.0",,"13.1","19.8",
"UKM00003772","HEATHROW, UK","2022-04-18","0.0",,"12.5","17.8",
"UKM00003772","HEATHROW, UK","2022-04-19","0.0",,"11.9","16.4","6.7"
"UKM00003772","HEATHROW, UK","2022-04-20","0.0",,"12.1","19.1","6.9"
"UKM00003772","HEATHROW, UK","2022-04-21","0.0",,"12.7","19.2",
"UKM00003772","HEATHROW, UK","2022-04-22","0.0",,"11.7","17.2",
"UKM00003772","HEATHROW, UK","2022-04-23","0.0",,"12.8","18.0",
"UKM00003772","HEATHROW, UK","2022-04-24","0.0",,"12.6","18.9","7.7"
"UKM00003772","HEATHROW, UK","2022-04-25","0.0",,"9.7","14.5",
"UKM00003772","HEATHROW, UK","2022-04-26","3.3",,"10.4","16.6","4.4"
"UKM00003772","HEATHROW, UK","2022-04-27","0.0",,"8.9","11.7","5.5"
"UKM00003772","HEATHROW, UK","2022-04-28","0.0",,"10.1","14.9","6.0"
"UKM00003772","HEATHROW, UK","2022-04-29","0.0",,"8.8","11.4","5.7"
"UKM00003772","HEATHROW, UK","2022-04-30","0.0",,"11.1","18.4",
"UKM00003772","HEATHROW, UK","2022-05-01","0.0",,"11.7","14.6",
"UKM00003772","HEATHROW, UK","2022-05-02","0.3",,"12.6","17.1","9.0"
"UKM00003772","HEATHROW, UK","2022-05-03","0.0",,"12.7","16.1","10.6"
"UKM00003772","HEATHROW, UK","2022-05-04","0.0",,"13.3","20.0",
"UKM00003772","HEATHROW, UK","2022-05-05","2.0",,"14.1","19.9","7.5"
"UKM00003772","HEATHROW, UK","2022-05-06","0.0",,"15.3","23.3","9.2"
"UKM00003772","HEATHROW, UK","2022-05-07","0.8",,"14.6","20.3",
"UKM00003772","HEATHROW, UK","2022-05-08","1.0",,"13.5","20.6",
"UKM00003772","HEATHROW, UK","2022-05-09","0.0",,"15.0","23.4","6.0"
"UKM00003772","HEATHROW, UK","2022-05-10","0.0",,"15.8","20.9",
"UKM00003772","HEATHROW, UK","2022-05-11","0.3",,"13.6","16.1",
"UKM00003772","HEATHROW, UK","2022-05-12","3.3","10.0","13.2","18.9","7.0"
"UKM00003772","HEATHROW, UK","2022-05-13","0.0",,"14.8","21.4",
"UKM00003772","HEATHROW, UK","2022-05-14","0.0",,"15.3","23.4","7.8"
"UKM00003772","HEATHROW, UK","2022-05-15","0.5",,"15.5","18.9","12.9"
"UKM00003772","HEATHROW, UK","2022-05-16","2.5",,"16.4","23.1","12.2"
"UKM00003772","HEATHROW, UK","2022-05-17","0.0",,"18.9","27.5","10.9"
"UKM00003772","HEATHROW, UK","2022-05-18","0.5",,"17.5","23.1","11.1"
"UKM00003772","HEATHROW, UK","2022-05-19","0.5",,"17.2","22.4","13.9"
"UKM00003772","HEATHROW, UK","2022-05-20","0.0",,"13.9","19.0",
"UKM00003772","HEATHROW, UK","2022-05-21","2.8",,"15.2","22.0","9.5"
"UKM00003772","HEATHROW, UK","2022-05-22","0.0",,"16.7","23.8",
"UKM00003772","HEATHROW, UK","2022-05-23","0.0",,"14.7","20.7",
"UKM00003772","HEATHROW, UK","2022-05-24","4.6",,"13.3","19.8","9.8"
"UKM00003772","HEATHROW, UK","2022-05-25","2.8",,"13.7","19.4",
"UKM00003772","HEATHROW, UK","2022-05-26","0.5",,"15.6","21.8","10.5"
"UKM00003772","HEATHROW, UK","2022-05-27","0.0",,"16.3","20.8",
"UKM00003772","HEATHROW, UK","2022-05-28","0.0",,"13.9","19.1","8.6"
"UKM00003772","HEATHROW, UK","2022-05-29","0.0",,"12.2","17.0","7.9"
"UKM00003772","HEATHROW, UK","2022-05-30","0.0",,"10.2","16.1","5.6"
"UKM00003772","HEATHROW, UK","2022-05-31","5.3",,"11.6","16.4","8.6"
"UKM00003772","HEATHROW, UK","2022-06-01","6.6",,"13.4","18.7","8.0"
"UKM00003772","HEATHROW, UK","2022-06-02","0.0",,"15.2","22.3","8.1"
"UKM00003772","HEATHROW, UK","2022-06-03","0.0",,"17.2","23.3",
"UKM00003772","HEATHROW, UK","2022-06-04","0.0",,"15.4","21.6",
"UKM00003772","HEATHROW, UK","2022-06-05","10.9",,"12.8","15.2","11.0"
"UKM00003772","HEATHROW, UK","2022-06-06","6.9",,"14.2","18.2","11.9"
"UKM00003772","HEATHROW, UK","2022-06-07","0.0",,"16.3","22.4","9.6"
"UKM00003772","HEATHROW, UK","2022-06-08","0.8",,"17.4","23.5",
"UKM00003772","HEATHROW, UK","2022-06-09","0.0",,"16.0","21.0","11.0"
"UKM00003772","HEATHROW, UK","2022-06-10","0.5",,"18.4","24.5",
"UKM00003772","HEATHROW, UK","2022-06-11","0.0",,"17.3","23.8","11.5"
"UKM00003772","HEATHROW, UK","2022-06-12","0.0",,"16.6","22.9","10.7"
"UKM00003772","HEATHROW, UK","2022-06-13","0.0",,"16.1","21.7","9.6"
"UKM00003772","HEATHROW, UK","2022-06-14","0.0",,"18.2","24.9","9.8"
"UKM00003772","HEATHROW, UK","2022-06-15","0.0",,"20.4","27.9","11.3"
"UKM00003772","HEATHROW, UK","2022-06-16","0.0",,"22.0","29.4",
"UKM00003772","HEATHROW, UK","2022-06-17","0.0",,"24.4","32.7","15.3"
"UKM00003772","HEATHROW, UK","2022-06-18","0.0",,"18.2","24.8",
"UKM00003772","HEATHROW, UK","2022-06-19","1.8",,"14.6","19.7","9.7"
"UKM00003772","HEATHROW, UK","2022-06-20","0.3",,"16.7","22.5","11.4"
"UKM00003772","HEATHROW, UK","2022-06-21","0.0",,"18.4","26.2","10.6"
"UKM00003772","HEATHROW, UK","2022-06-22","0.0",,"20.3","27.9","12.5"
"UKM00003772","HEATHROW, UK","2022-06-23","0.0",,"19.3","26.7","13.9"
"UKM00003772","HEATHROW, UK","2022-06-24","0.3",,"17.7","22.5","14.5"
"UKM00003772","HEATHROW, UK","2022-06-25","1.5",,"16.2","22.3","12.4"
"UKM00003772","HEATHROW, UK","2022-06-26","0.0",,"16.5","22.8","11.0"
"UKM00003772","HEATHROW, UK","2022-06-27","0.0",,"15.6","21.0","11.7"
"UKM00003772","HEATHROW, UK","2022-06-28","0.5",,"16.5","23.2",
"UKM00003772","HEATHROW, UK","2022-06-29","0.0",,"16.6","22.0",
"UKM00003772","HEATHROW, UK","2022-06-30","0.8",,"15.8","20.7",
"UKM00003772","HEATHROW, UK","2022-07-01","0.0",,"15.9","22.1",
"UKM00003772","HEATHROW, UK","2022-07-02","2.3",,"16.8","23.8","11.8"
"UKM00003772","HEATHROW, UK","2022-07-03","0.0",,"17.6","24.2","10.6"
"UKM00003772","HEATHROW, UK","2022-07-04","0.0",,"17.4","23.3","11.3"
"UKM00003772","HEATHROW, UK","2022-07-05","0.0",,"17.7","22.3","10.8"
"UKM00003772","HEATHROW, UK","2022-07-06","0.0",,"19.1","25.3","12.5"
"UKM00003772","HEATHROW, UK","2022-07-07","0.0",,"20.1","25.2","16.6"
"UKM00003772","HEATHROW, UK","2022-07-08","0.0",,"21.8","28.7","13.8"
"UKM00003772","HEATHROW, UK","2022-07-09","0.0",,"21.4","27.5","15.5"
"UKM00003772","HEATHROW, UK","2022-07-10","0.0",,"21.8","29.7","14.6"
"UKM00003772","HEATHROW, UK","2022-07-11","0.0",,"24.1","31.8","16.5"
"UKM00003772","HEATHROW, UK","2022-07-12","0.0",,"25.5",,"19.7"
